title,description,department
Support ticket closed without resolution,Customer's support ticket was marked as resolved and closed by the agent but the underlying issue was never actually fixed. Reopening request filed.,Customer Support
End-of-year leave planning communication ,HR needs to send guidance to all employees about the process for planning and submitting year-end leave requests before the holiday period begins.,HR
Compressed air system pressure drop ,"The compressed air system pressure has dropped below the required operating level, affecting pneumatic equipment performance across the production floor.",Operations
Database backup restoration test needed,IT policy requires quarterly restoration tests of database backups to verify data integrity. The last scheduled test was not completed and is overdue.,IT Support
Asset impairment review required ,One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Production planning data not updated ,The production planning team's data in the ERP system has not been updated with this week's actual production figures. Reports are showing stale data.,Operations
Franchise partner performance review ,Several franchise partners have not met their quarterly performance targets. Management needs to decide on remediation actions or contract terminations.,Manager
Pallet racking structural integrity concern ,A warehouse supervisor noticed a bent upright on one of the pallet racking structures. The section has been cordoned off pending a structural inspection.,Operations
IT infrastructure upgrade business case ,CTO has submitted a business case for a complete network infrastructure overhaul. Management review of the INR 45 lakh capital investment proposal is requested.,Manager
Order shows delivered but not received ,Customer's order status changed to delivered but the package was not found at the delivery address. Neighbors were checked and no package was left with them either.,Customer Support
Fleet maintenance record incomplete ,Annual review of the vehicle fleet maintenance records found that 4 vehicles do not have complete service history documentation as required by policy.,Operations
Customer advance receipt accounting ,Sales team received a large advance payment from a new customer. Finance needs guidance on how to record and report this in the financial statements.,Finance
Project invoice raised to wrong client ,Finance team discovered that an invoice was raised to Client A for work done for Client B. Correction and reissuance needed before payment is received.,Finance
Wi-Fi dead zones in office,Employees in the northwest corner of the 4th floor consistently experience poor or no Wi-Fi connectivity. Additional access points may need to be installed.,IT Support
Time tracking system not recording correctly ,Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
ERP system slow during month-end ,The ERP system becomes extremely slow during month-end processing when the finance team runs batch jobs. Reports that normally take 2 minutes are taking over 30.,IT Support
Shipping insurance claim not processed ,Customer paid for shipping insurance on a high-value item that was lost in transit. The insurance claim filed 3 weeks ago has not been processed.,Customer Support
Product recall notification not received ,Customer read in the news about a recall of a product they purchased from this platform but did not receive any recall notification from the company.,Customer Support
Competency framework rollout,HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Approval for system downtime maintenance ,IT needs a 4-hour maintenance window next Saturday to perform critical infrastructure upgrades. Business impact assessment and management approval needed.,Manager
New employee orientation session scheduling ,"Five new employees are joining next week and their orientation sessions, including office tours, policy briefings and team introductions, need to be scheduled.",HR
Monthly one-on-one meeting schedule ,Manager requesting HR support to set up a recurring monthly one-on-one meeting schedule for all direct reports using the company's scheduling tool.,Manager
Remote employee contract addendum ,An employee transitioning to a permanently remote work arrangement needs a formal contract addendum reflecting the change in work location and terms.,HR
Chatbot transferred to wrong department ,"When contacting support through the website chatbot, customer was transferred to the technical team for a billing issue which caused additional wait time.",Customer Support
IT infrastructure upgrade business case ,CTO has submitted a business case for a complete network infrastructure overhaul. Management review of the INR 45 lakh capital investment proposal is requested.,Manager
Goods returned by customer quality check ,A batch of goods was returned by a major customer citing quality defects. Operations needs to inspect the batch and initiate a root cause analysis.,Operations
Vendor shortlisting for new service ,Procurement team has shortlisted three vendors for a new service. Requesting management review of evaluation scorecard and decision on preferred vendor.,Manager
Email newsletter has broken images ,Customer receives the weekly newsletter but all images are broken and only image placeholder icons are visible. Text content is readable.,Customer Support
Gift card not accepted at third party store ,Customer purchased a gift card to use at a partner store but the store's system is rejecting the card code as invalid when the cashier enters it.,Customer Support
Regulatory filing deadline extension request ,"Due to extraordinary circumstances, the company needs to request a filing extension from the regulator. Management authorization for the extension request is needed.",Manager
Referral link not generating discount ,Customer shared their referral link with friends who signed up but neither the customer nor their friends received the promised referral discount.,Customer Support
Inbound inspection backlog ,The incoming goods inspection team has a backlog of 3 days worth of shipments waiting to be inspected. Production is being delayed as a result.,Operations
Waste generation above compliance threshold ,This month's waste generation figures are above the regulatory compliance threshold. Operations needs to investigate the cause and report to the environmental team.,Operations
Accounts payable duplicate payment audit ,Finance is conducting an audit of all vendor payments made in the past 12 months to identify any duplicate payments and initiate recovery.,Finance
Shipping documentation error ,An error in the packing list sent to a customer caused a customs delay at their end. Operations needs to issue corrected documentation immediately.,Operations
Rebate from vendor not accounted for ,"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Job evaluation for new role ,A newly created role needs to be formally evaluated and graded by HR to determine the appropriate salary band and reporting level before recruitment begins.,HR
Customs clearance delay for imported goods,A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Employee expense claim currency conversion query ,Employee who incurred expenses in USD during an overseas trip needs clarification on which exchange rate to use when converting to INR for the claim.,Finance
Inbound inspection backlog ,The incoming goods inspection team has a backlog of 3 days worth of shipments waiting to be inspected. Production is being delayed as a result.,Operations
Raw material substitution approval ,Primary raw material is out of stock and a substitute material is available. Production needs operations and quality team approval before using the substitute.,Operations
Inventory barcode scanner not reading ,The barcode scanner used in the warehouse for inventory tracking is not reading barcodes correctly. This is causing inventory count errors and dispatch delays.,Operations
Network monitoring tool false alerts ,"The network monitoring tool is generating a high volume of false positive alerts, causing the IT team to miss genuine issues in the noise.",IT Support
Custom order specifications not followed ,Customer placed a custom product order with specific dimensions and color but the delivered item does not match the confirmed order specifications.,Customer Support
Shipping insurance claim not processed,Customer paid for shipping insurance on a high-value item that was lost in transit. The insurance claim filed 3 weeks ago has not been processed.,Customer Support
Deferred bonus payment query ,Employee has a deferred bonus that was promised as part of a retention agreement two years ago. The payment date has arrived and the bonus has not been paid.,HR
Internship offer letter issuance ,"Eight selected interns for the summer program need to receive formal offer letters with internship terms, stipend details and joining instructions.",HR
Succession plan for key departing employee ,A key technical employee has submitted their resignation. Manager is requesting immediate support to identify and develop a succession candidate.,Manager
Digital certificate for code signing needed ,Developer needs a code signing certificate to sign software releases before distribution. Requesting IT to procure and configure the appropriate certificate.,IT Support
Rebate from vendor not accounted for ,"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Procurement system access for new manager ,A newly promoted manager needs access to the procurement system to approve purchase orders. Current role does not include this permission level.,IT Support
Approval for external legal counsel,An emerging contractual dispute with a client may require specialized legal advice beyond the company's internal legal team capabilities. External counsel approval needed.,Manager
Customer contract profitability review ,Finance analysis shows a major customer contract is operating at below target margins. Requesting management strategy session to decide on renegotiation approach.,Manager
Account showing wrong membership tier ,Customer's account displays a Silver membership tier but they believe they have accumulated enough points to qualify for Gold status.,Customer Support
Cold storage temperature alarm ,The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Customs clearance delay for imported goods ,A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Contract manufacturer capacity shortage ,The contract manufacturer has informed that they cannot meet the agreed monthly production volumes due to their own capacity constraints.,Operations
Helpdesk knowledge base update needed ,Many IT helpdesk articles are outdated following recent system upgrades. The knowledge base needs to be reviewed and updated to reflect current procedures.,IT Support
Time tracking system not recording correctly ,Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
Approval for external legal counsel ,An emerging contractual dispute with a client may require specialized legal advice beyond the company's internal legal team capabilities. External counsel approval needed.,Manager
Production line downtime report ,Production line B has experienced 14 hours of unplanned downtime this week due to recurring equipment issues. Root cause analysis is needed urgently.,Operations
Bluetooth keyboard pairing issue ,Employee received a Bluetooth keyboard as part of a hardware refresh but it cannot be paired with their laptop. Multiple attempts have been unsuccessful.,IT Support
Cross-platform file compatibility issue,A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Virtual machine snapshot storage full ,The virtual machine snapshot storage volume is at 97 percent capacity. Old snapshots need to be reviewed and deleted to prevent system failures.,IT Support
Investment policy compliance check ,CFO has requested a review of all short-term investments to ensure they comply with the board-approved investment policy and risk guidelines.,Finance
Fleet maintenance record incomplete ,Annual review of the vehicle fleet maintenance records found that 4 vehicles do not have complete service history documentation as required by policy.,Operations
Internal loan between subsidiaries ,Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Loyalty tier downgraded incorrectly ,Customer was downgraded from Gold to Silver membership tier even though they did not fall below the spending threshold required to maintain Gold status.,Customer Support
App shows different price than website ,The same product is showing a higher price on the mobile app compared to the desktop website. Customer wants to know which price is correct.,Customer Support
Complaint about product environmental impact ,Customer wants to raise a concern about non-recyclable packaging used for a product they ordered and is requesting the company's sustainability policy.,Customer Support
Customs clearance delay for imported goods ,A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Support ticket closed without resolution ,Customer's support ticket was marked as resolved and closed by the agent but the underlying issue was never actually fixed. Reopening request filed.,Customer Support
Teams meeting recording not available ,A recorded Teams meeting from last week is not appearing in the meeting chat or in the employee's OneDrive recordings folder. Recording was confirmed during the call.,IT Support
Cleaning and sanitation schedule not followed ,The production area cleaning and sanitation schedule is not being consistently followed by the cleaning team. Non-compliance may cause food safety issues.,Operations
Data governance policy implementation ,IT and legal have finalized a new data governance policy. Manager requesting a cross-functional meeting to align on implementation responsibilities.,Manager
Grievance escalation to HR director ,An employee grievance that was not resolved at the manager level is being escalated to the HR director for formal review and decision.,HR
Unable to update payment method ,Customer is trying to add a new credit card to their account but the payment section keeps showing a loading spinner without saving the card.,Customer Support
Inventory barcode scanner not reading ,The barcode scanner used in the warehouse for inventory tracking is not reading barcodes correctly. This is causing inventory count errors and dispatch delays.,Operations
Order delivery window too wide ,Customer was given a delivery window of 9 AM to 9 PM which required them to stay home all day. Requesting more precise delivery time slots.,Customer Support
Team skill development plan approval ,Manager has prepared a 12-month skill development plan for their team and is requesting senior management approval before communicating it to employees.,Manager
Order queue position not updating ,Customer placed a pre-order and was given a queue position but the estimated dispatch date has passed and the queue position has not moved.,Customer Support
Approval to promote from within ,Manager recommending an internal candidate for a senior position rather than external hiring. Requesting approval to fast-track the internal promotion process.,Manager
Digital HR system migration ,HR is migrating from the legacy HR system to a new cloud-based platform. Employee data validation and testing are required before the go-live date.,HR
App shows different price than website ,The same product is showing a higher price on the mobile app compared to the desktop website. Customer wants to know which price is correct.,Customer Support
Advance payment to new supplier query ,Procurement is asking whether Finance can make a partial advance payment to a new supplier before the purchase order is formally approved.,Finance
Helpdesk knowledge base update needed ,Many IT helpdesk articles are outdated following recent system upgrades. The knowledge base needs to be reviewed and updated to reflect current procedures.,IT Support
Staff welfare expense approval ,"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
Medical reimbursement documents rejected ,Employee's medical reimbursement claim was rejected citing incomplete documentation even though all required documents listed in the policy were submitted.,Finance
Emergency exit blocked by stored goods ,"During a routine inspection, an emergency exit on the ground floor was found to be blocked by stored pallets. Immediate removal required for safety compliance.",Operations
Annual report content approval ,Finance and communications teams have prepared the draft annual report. Board-level review and approval are required before it goes to the printer.,Manager
Payroll tax filing error discovered ,"After filing the quarterly payroll tax return, an error was discovered in the taxable wages reported. An amended return needs to be filed promptly.",Finance
Long-term disability claim support ,An employee diagnosed with a long-term health condition needs HR support to navigate the company's disability insurance claim process.,HR
Subscription billing date changed without notice ,Customer's billing date shifted from the 5th to the 18th of the month without any communication. This has caused budgeting inconvenience.,Customer Support
Production planning data not updated,The production planning team's data in the ERP system has not been updated with this week's actual production figures. Reports are showing stale data.,Operations
Technology adoption roadmap review ,IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Account showing wrong membership tier ,Customer's account displays a Silver membership tier but they believe they have accumulated enough points to qualify for Gold status.,Customer Support
Asset impairment review required ,One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Payroll tax filing error discovered ,"After filing the quarterly payroll tax return, an error was discovered in the taxable wages reported. An amended return needs to be filed promptly.",Finance
Approval for team offsite planning ,"Manager requesting budget approval of INR 2,50,000 for a 2-day team offsite focused on strategy alignment and team building for 15 employees.",Manager
Shift schedule not published on time ,"Operations employees are complaining that the next month's shift schedule has not been published with adequate notice, causing personal planning difficulties.",HR
Approval for crisis communication plan ,Reputational risk team has prepared a crisis communication playbook. Requesting senior management review and approval for it to be adopted as official policy.,Manager
Night shift handover process breakdown ,The handover between day and night shifts in the warehouse is inconsistent. Critical information about pending tickets is frequently not communicated.,Operations
Prepaid expense amortization schedule error ,The prepaid expense amortization schedule has an error in the monthly amounts due to a formula mistake. All future months need to be recalculated.,Finance
Return received but refund not initiated ,Customer returned an item and the tracking confirms it was delivered to the warehouse 12 days ago but no refund has been initiated yet.,Customer Support
Waste generation above compliance threshold ,This month's waste generation figures are above the regulatory compliance threshold. Operations needs to investigate the cause and report to the environmental team.,Operations
Cross-platform file compatibility issue ,A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Damaged product on arrival ,Product arrived with a cracked casing and dented corners. Packaging appeared intact suggesting the damage occurred during manufacturing or packing.,Customer Support
Overdraft fee charged on company account ,Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
Job posting approval needed ,Recruitment team needs manager approval on the job description and salary range before posting a vacancy for a senior data scientist role.,HR
Product photo submission not credited ,Customer submitted a product photo for the community gallery as part of a rewards program but did not receive the promised credit points.,Customer Support
Accounts receivable write-off approval needed ,"Finance is requesting management approval to write off three old receivables totaling INR 1,85,000 that have been outstanding for more than 24 months.",Finance
Cleaning and sanitation schedule not followed,The production area cleaning and sanitation schedule is not being consistently followed by the cleaning team. Non-compliance may cause food safety issues.,Operations
Domain name renewal lapse risk ,IT administrator flagged that two company domain names are due for renewal in 8 days. Previous renewal was missed causing a brief website outage.,IT Support
Reward points expired without notice,Customer's accumulated reward points expired without any prior email or in-app notification. Points had been saved for over 6 months.,Customer Support
Unpaid leave impact on benefits ,"Employee planning to take unpaid leave for 3 months wants to understand the impact on their health insurance, PF contributions and annual leave accrual.",HR
Change management support request ,A major process change is being implemented in the department. Manager is requesting HR and senior leadership support for the change management communication.,Manager
Incorrect depreciation method applied ,Asset depreciation was calculated using the straight-line method for an asset that should have been depreciated using the written-down value method.,Finance
Headcount report for board meeting ,"CFO has requested an up-to-date headcount report by department, role level and location for the upcoming board meeting presentation.",HR
Customer contract profitability review ,Finance analysis shows a major customer contract is operating at below target margins. Requesting management strategy session to decide on renegotiation approach.,Manager
Partial order delivered ,Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Complaint about product environmental impact ,Customer wants to raise a concern about non-recyclable packaging used for a product they ordered and is requesting the company's sustainability policy.,Customer Support
Underperforming team member escalation,"After 3 months on a performance improvement plan with no progress, manager is escalating the underperforming employee matter to HR and senior management.",Manager
Product photo submission not credited ,Customer submitted a product photo for the community gallery as part of a rewards program but did not receive the promised credit points.,Customer Support
Remote employee contract addendum ,An employee transitioning to a permanently remote work arrangement needs a formal contract addendum reflecting the change in work location and terms.,HR
Loyalty tier downgraded incorrectly ,Customer was downgraded from Gold to Silver membership tier even though they did not fall below the spending threshold required to maintain Gold status.,Customer Support
Approval to engage freelance consultant ,"Project requires specialized expertise not available internally. Manager requesting approval to engage an external freelance consultant for INR 80,000.",Manager
Laptop battery draining too fast ,Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Software deployment failing via MDM ,IT attempted to push a software update to all managed devices using the MDM platform but the deployment is failing on 23 percent of devices.,IT Support
Goods returned by customer quality check ,A batch of goods was returned by a major customer citing quality defects. Operations needs to inspect the batch and initiate a root cause analysis.,Operations
Year-end performance rating distribution ,HR is reviewing the distribution of year-end performance ratings across departments to ensure consistency and fairness before ratings are communicated to employees.,HR
Approval for project scope change ,Project requirements have changed significantly due to client feedback. Manager is requesting formal approval for the amended scope before work resumes.,Manager
Complaint about misleading advertisement ,Customer purchased a product based on an advertisement that showed features not present in the actual product. Requesting refund and ad retraction.,Customer Support
Salary processing delayed this month ,"Due to a banking holiday on the usual payroll date, salaries were processed 2 days late. Several employees have raised concerns about the delay.",Finance
Compressed air system pressure drop ,"The compressed air system pressure has dropped below the required operating level, affecting pneumatic equipment performance across the production floor.",Operations
Large file transfer solution needed ,An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Order placed on wrong address ,Customer accidentally placed an order to an old saved address. Requesting customer support to cancel or redirect the shipment before it is dispatched.,Customer Support
Approval for conference sponsorship ,"Marketing team has an opportunity to sponsor an industry conference for brand visibility. Requesting management approval for INR 1,50,000 sponsorship budget.",Manager
Promotion announcement communication ,Three employees have been promoted and HR needs to coordinate with their managers to send formal announcement communications to their respective teams.,HR
Referral link not generating discount ,Customer shared their referral link with friends who signed up but neither the customer nor their friends received the promised referral discount.,Customer Support
Internship offer letter issuance ,"Eight selected interns for the summer program need to receive formal offer letters with internship terms, stipend details and joining instructions.",HR
Senior hire approval above salary band ,A highly qualified candidate for a critical role has expectations above the approved salary band. Requesting management approval for an exception to the salary range.,Manager
Grievance escalation to HR director ,An employee grievance that was not resolved at the manager level is being escalated to the HR director for formal review and decision.,HR
Endpoint detection alert review ,IT security received an alert from the endpoint detection system about suspicious activity on one workstation. Investigation and response are needed.,IT Support
Emergency response plan activation ,A potential flooding risk has been identified at the main office location. Emergency response plan needs to be activated and employees need to be briefed.,Manager
Project invoice raised to wrong client ,Finance team discovered that an invoice was raised to Client A for work done for Client B. Correction and reissuance needed before payment is received.,Finance
Chatbot transferred to wrong department ,"When contacting support through the website chatbot, customer was transferred to the technical team for a billing issue which caused additional wait time.",Customer Support
Training budget utilization review ,Only 40 percent of the annual training budget has been utilized with 3 months remaining. HR is reviewing departmental plans to ensure optimal utilization.,HR
Product expiry date already passed on delivery ,Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Project invoice raised to wrong client,Finance team discovered that an invoice was raised to Client A for work done for Client B. Correction and reissuance needed before payment is received.,Finance
Chatbot transferred to wrong department ,"When contacting support through the website chatbot, customer was transferred to the technical team for a billing issue which caused additional wait time.",Customer Support
Apprenticeship program enrollment ,Two school leavers have been selected for the company's apprenticeship program. HR needs to complete their enrollment and arrange their first-week schedule.,HR
Project invoice raised to wrong client ,Finance team discovered that an invoice was raised to Client A for work done for Client B. Correction and reissuance needed before payment is received.,Finance
App shows different price than website,The same product is showing a higher price on the mobile app compared to the desktop website. Customer wants to know which price is correct.,Customer Support
Advance payment to new supplier query,Procurement is asking whether Finance can make a partial advance payment to a new supplier before the purchase order is formally approved.,Finance
Accounts payable duplicate payment audit ,Finance is conducting an audit of all vendor payments made in the past 12 months to identify any duplicate payments and initiate recovery.,Finance
Store credit not applied at checkout ,Customer has store credit in their account but the option to apply it during checkout is not visible. Credit shows correctly on the account page.,Customer Support
Approval for project scope change,Project requirements have changed significantly due to client feedback. Manager is requesting formal approval for the amended scope before work resumes.,Manager
Forklift operator certification expired ,The certification for two forklift operators in the warehouse has expired. They cannot legally operate the equipment until recertification is completed.,Operations
Staff augmentation request ,A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
Statutory payment confirmation needed ,Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Regional office closure decision ,Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
Skill gap analysis for department ,HR is conducting a skill gap analysis for the engineering department to identify training priorities and inform the next year's learning and development budget.,HR
Lease accounting standard adoption query ,Finance team is seeking guidance on adopting the new lease accounting standard for the company's operating leases starting from the next financial year.,Finance
Tool crib inventory discrepancy ,The tool crib inventory count does not match the system records. Several expensive tools are missing and their last checkout was not recorded.,Operations
Approval for external legal counsel ,An emerging contractual dispute with a client may require specialized legal advice beyond the company's internal legal team capabilities. External counsel approval needed.,Manager
Raw material substitution approval ,Primary raw material is out of stock and a substitute material is available. Production needs operations and quality team approval before using the substitute.,Operations
Night shift handover process breakdown ,The handover between day and night shifts in the warehouse is inconsistent. Critical information about pending tickets is frequently not communicated.,Operations
Password manager enterprise deployment ,IT is deploying an enterprise password manager to all employees and needs to schedule training sessions for each department to ensure adoption.,IT Support
Quarterly goals review and reset ,Mid-year review shows some departmental goals are no longer achievable due to market changes. Requesting management approval to reset two specific team targets.,Manager
Performance management process query ,Manager needs clarification on the performance management timeline and how to handle an employee who joined mid-year and missed part of the review cycle.,Manager
Accounting software login not working ,Finance team member is unable to log into the accounting software since their password was reset. IT-generated temporary password is also not working.,Finance
Interview panel training needed ,HR has identified that several managers conducting interviews are not following the structured interview process. Training session needs to be arranged.,HR
IP address conflict on network ,Two devices on the local network have been assigned the same static IP address causing intermittent connectivity loss for both. DHCP configuration review needed.,IT Support
Helpdesk knowledge base update needed,Many IT helpdesk articles are outdated following recent system upgrades. The knowledge base needs to be reviewed and updated to reflect current procedures.,IT Support
Statutory payment confirmation needed ,Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Approval for external legal counsel ,An emerging contractual dispute with a client may require specialized legal advice beyond the company's internal legal team capabilities. External counsel approval needed.,Manager
Production planning data not updated ,The production planning team's data in the ERP system has not been updated with this week's actual production figures. Reports are showing stale data.,Operations
Cybersecurity incident report filing ,"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Logistics software system error ,The logistics management software is displaying incorrect vehicle tracking information. Dispatch team is unable to monitor delivery status in real time.,Operations
Annual report content approval,Finance and communications teams have prepared the draft annual report. Board-level review and approval are required before it goes to the printer.,Manager
Candidate rejection communication ,HR needs to send formal rejection notifications to 12 candidates who were interviewed for a position that has now been filled internally.,HR
Competency framework rollout ,HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Intranet page returning error 500 ,"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Job evaluation for new role ,A newly created role needs to be formally evaluated and graded by HR to determine the appropriate salary band and reporting level before recruitment begins.,HR
Spare parts inventory running low ,Critical spare parts for production machinery are running below the minimum stock level. Procurement needs to be initiated before any equipment breakdown.,Operations
Workstation imaging and reimaging request ,An employee's workstation has become unstable after multiple software issues. IT needs to reimage the device and restore data from the last backup.,IT Support
Escalation of repeated billing errors to client ,A client has been billed incorrectly for the third consecutive month despite corrections being made. Manager requesting executive involvement to resolve and retain the client.,Manager
Employee safety boot replacement ,Safety footwear for 12 warehouse employees has reached end of life. Replacement boots must be issued before employees can continue working in restricted zones.,Operations
Accounts receivable write-off approval needed ,"Finance is requesting management approval to write off three old receivables totaling INR 1,85,000 that have been outstanding for more than 24 months.",Finance
Order queue position not updating ,Customer placed a pre-order and was given a queue position but the estimated dispatch date has passed and the queue position has not moved.,Customer Support
Statutory payment confirmation needed ,Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Freight cost allocation query ,Operations and Finance disagree on how to allocate inbound freight costs across different product categories for inventory valuation purposes.,Finance
Emergency exit blocked by stored goods ,"During a routine inspection, an emergency exit on the ground floor was found to be blocked by stored pallets. Immediate removal required for safety compliance.",Operations
Spam emails bypassing corporate filter ,A large volume of phishing and spam emails are reaching employee inboxes despite the corporate email security filter. Filter rules may need updating.,IT Support
Cross-platform file compatibility issue ,A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Order shows delivered but not received ,Customer's order status changed to delivered but the package was not found at the delivery address. Neighbors were checked and no package was left with them either.,Customer Support
Complaint about management communication style ,Multiple employees have formally raised concerns about a senior manager's aggressive communication style. HR and senior management review is required.,Manager
Domain name renewal lapse risk ,IT administrator flagged that two company domain names are due for renewal in 8 days. Previous renewal was missed causing a brief website outage.,IT Support
Material handling equipment breakdown ,The conveyor belt system in the packaging area has broken down. Manual handling is being used temporarily but is slower and creating a backlog.,Operations
Senior hire approval above salary band,A highly qualified candidate for a critical role has expectations above the approved salary band. Requesting management approval for an exception to the salary range.,Manager
Return received but refund not initiated ,Customer returned an item and the tracking confirms it was delivered to the warehouse 12 days ago but no refund has been initiated yet.,Customer Support
Account blocked after chargeback ,Customer raised a legitimate chargeback with their bank for an undelivered item but their account was suspended as a result. Requesting reinstatement.,Customer Support
Product stopped working after 2 days ,A newly purchased electronic item functioned for two days and then stopped working completely. No physical damage and used as per instructions.,Customer Support
Senior hire approval above salary band ,A highly qualified candidate for a critical role has expectations above the approved salary band. Requesting management approval for an exception to the salary range.,Manager
Senior hire approval above salary band ,A highly qualified candidate for a critical role has expectations above the approved salary band. Requesting management approval for an exception to the salary range.,Manager
End-of-year leave planning communication ,HR needs to send guidance to all employees about the process for planning and submitting year-end leave requests before the holiday period begins.,HR
IT infrastructure upgrade business case ,CTO has submitted a business case for a complete network infrastructure overhaul. Management review of the INR 45 lakh capital investment proposal is requested.,Manager
Employment tribunal response preparation ,HR legal team is preparing a formal response to an employment tribunal claim filed by a former employee. Documentation and witness statements are needed.,HR
SharePoint site permission error ,Employee is getting an access denied error when trying to open a SharePoint site that they were recently granted access to. Permissions appear to be set correctly.,IT Support
IT infrastructure upgrade business case ,CTO has submitted a business case for a complete network infrastructure overhaul. Management review of the INR 45 lakh capital investment proposal is requested.,Manager
Shipping documentation error ,An error in the packing list sent to a customer caused a customs delay at their end. Operations needs to issue corrected documentation immediately.,Operations
Franchise partner performance review ,Several franchise partners have not met their quarterly performance targets. Management needs to decide on remediation actions or contract terminations.,Manager
Database backup restoration test needed ,IT policy requires quarterly restoration tests of database backups to verify data integrity. The last scheduled test was not completed and is overdue.,IT Support
Customs clearance delay for imported goods ,A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Reward points expired without notice ,Customer's accumulated reward points expired without any prior email or in-app notification. Points had been saved for over 6 months.,Customer Support
Product expiry date already passed on delivery ,Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Digital certificate for code signing needed ,Developer needs a code signing certificate to sign software releases before distribution. Requesting IT to procure and configure the appropriate certificate.,IT Support
Headcount freeze impact on deliverables ,The company-wide hiring freeze is preventing the team from filling two critical vacancies. Manager is flagging the risk to project deliverables and timelines.,Manager
Product expiry date already passed on delivery ,Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Long-term disability claim support ,An employee diagnosed with a long-term health condition needs HR support to navigate the company's disability insurance claim process.,HR
Procurement system access for new manager ,A newly promoted manager needs access to the procurement system to approve purchase orders. Current role does not include this permission level.,IT Support
Account blocked after chargeback ,Customer raised a legitimate chargeback with their bank for an undelivered item but their account was suspended as a result. Requesting reinstatement.,Customer Support
Headcount freeze impact on deliverables ,The company-wide hiring freeze is preventing the team from filling two critical vacancies. Manager is flagging the risk to project deliverables and timelines.,Manager
Work order system not updating status ,Maintenance work orders completed by technicians are not updating to completed status in the system. Manual tracking is creating reporting inaccuracies.,Operations
Email newsletter has broken images ,Customer receives the weekly newsletter but all images are broken and only image placeholder icons are visible. Text content is readable.,Customer Support
IT infrastructure upgrade business case ,CTO has submitted a business case for a complete network infrastructure overhaul. Management review of the INR 45 lakh capital investment proposal is requested.,Manager
